company,date,tweet,n_replies,n_retweets,n_likes
0100 Meliá Hotels International ,24/12/2019, #BRAVOSBookSelection by @GranMeliaHotels brings together 6 taste experts whose talent and creativity enrich the Gran Meliá experience throughout their selected bites of Spanish culture. Learn more details about our curators and their selection here >  http://ow.ly/6FKP50xdsdi  pic.twitter.com/aTmi3AjigK ,0.0,0.0,2.0
0100 Meliá Hotels International ,13/12/2019," As a result of our partnership with @audispain, several of our hotels in Mallorca have joined the project #Audietron4Melia to raise awareness among guests by allowing them access to the new 100% electric #Audietron. Learn more here >  http://ow.ly/S1sn50xzfDr  #ElectricCar pic.twitter.com/7a4m4rK42c ",1.0,90.0,1449.0
0100 Meliá Hotels International ,12/12/2019," Gracias a nuestra fortaleza digital, hemos alcanzado un nuevo hito en ventas durante las campañas de Black Friday y Cyber Monday. @MeliaProRewards logra un crecimiento de 106,5% gracias a su acertada estrategia y sólida relación con las agencias. >  http://ow.ly/zgKJ50xyqB6  pic.twitter.com/OMywKLcoDG ",0.0,65.0,258.0
0100 Meliá Hotels International ,09/12/2019," Es #TiempoDeActuar y estamos orgullosos de anunciar que seremos la primera hotelera del mundo en aplicar #blockchain medioambiental para avanzar en la compensación de la huella de carbono, de la mano de @ClimateTrade.  >  http://ow.ly/K1xs50xvgkG  #COP25Madrid #Melia4ThePlanet pic.twitter.com/HCRMBF6Dsn ",2.0,97.0,276.0
0100 Meliá Hotels International ,28/11/2019, .@InnsidebyMelia recibe el reconocimiento de los @PremiosFest por la creación de la primera habitación situada dentro del recinto de un festival musical. El proyecto ha sido creado para @MallorcaLiveFes y contaba con todas las señas de la marca. >  http://ow.ly/inbv50xn5TY  pic.twitter.com/o39L4R0oxy ,0.0,43.0,169.0
0100 Meliá Hotels International ,26/11/2019," 3 of our properties in the #DominicanRepublic are among the Top 5 hotels in @TripAdvisor in their categories. Congratulations to our teams at The Level at @MeliaPCanaBeach, Grand Reserve at @ParadisusPReal  and Royal Service at @ParadisusPReal! >  http://ow.ly/P2n750xlcr5  pic.twitter.com/mcYWU92m8g ",0.0,17.0,21.0
0100 Meliá Hotels International ,25/11/2019," ¿Sabías que cada año, 7,7 millones de toneladas de alimentos acaban en la basura y España es el 7 país de la UE en #DesperdicioDeAlimentos? Nuestros hoteles @MeliaPrincesa y @MeliaMadSerrano se suman a la iniciativa @TooGoodToGo_ES para luchar contra el #DesperdicioAlimentario. pic.twitter.com/4KVqoqwfAw ",1.0,60.0,108.0
0100 Meliá Hotels International ,22/11/2019," Driven by our commitment to sustainability and excellence, our brand @MeliaHtlResorts is partnering with @Rituals to reduce our environmental footprint while offering the best amenities on the market. #Melia4ThePlanet  Learn all about the project here >  http://ow.ly/qsBu50x5z8K  pic.twitter.com/QE4PRbDmyp ",0.0,11.0,159.0
0100 Meliá Hotels International ,20/11/2019, Mañana el campo de Sol Marbella Estepona Atalaya Park acoge la final del torneo ¨XII+I Circuito de Golf de Meliá 2019¨ donde participarán 18 finalistas y 82 sponsors e invitados VIP. Descubre aquí los mejores destinos para practicar tu deporte favorito >  http://ow.ly/sipl50xf4fe  pic.twitter.com/G95eL19cds ,1.0,4.0,22.0
0100 Meliá Hotels International ,15/11/2019, We collaborate with @audispain to promote the benefits of sustainable mobility allowing some of our hotels in Mallorca to offer guests a chance to enjoy driving the new 100% electric #AudiEtron. Learn more here >  http://ow.ly/Wg0a50xbGuK  #Audietron4Melia #Melia4thePlanet pic.twitter.com/czYbhyF1C5 ,1.0,32.0,683.0
0100 Meliá Hotels International ,10/11/2019, .@MEbyMelia collaborates with the leading art and culture @i_d magazine in developing our location playlists to bring our guests the latest in cutting-edge culture across the music. Listen to them here and enhance your connection with the destination >  http://ow.ly/TIhE50wROcX  pic.twitter.com/miY6mBMpth ,6.0,16.0,342.0
0100 Meliá Hotels International ,15/10/2019," Our luxurious all-inclusive resort Paradisus Los Cayos with its unspoilt beaches is the ideal place to enjoy unique and authentic natural experiences. An extraordinarily comfortable space, ideal for leisure breaks and professional events. Learn more here >  http://ow.ly/QTA350wxUsQ  pic.twitter.com/G8gsYiE0JJ ",0.0,6.0,57.0
0100 Meliá Hotels International ,25/09/2019, Hoy cambiamos nuestro logo para apoyar la iniciativa #ODSéate y contribuir para que en 2020 el 100% de la población española conozca la #Agenda2030 y este sensibilizada sobre el alcance de las transformaciones que la ella conlleva. Descubre más aquí >  http://ow.ly/Ix3l50wpZAV  pic.twitter.com/pUSKl7Ljrt ,1.0,4.0,10.0
